label_id	pea3 spot count
1	4.960385842413669
2	6.451311707148734
3	4.620274940699392
4	4.85791640938499
5	5.733888940990132
6	4.284715173731182
7	5.752545581374144
8	7.506574381007097
9	9.318282483097777
10	9.499236223300567
11	3.764568564937696
12	10.945257478313309
13	10.834825349281257
14	5.798966618495591
15	3.5809217963621456
16	6.343787501366505
17	12.9551973443787
18	1.5533865086047465
19	6.391821729470824
20	7.907788110238752
21	8.762371745754002
22	4.579043206455332
23	4.105588115032923
24	2.566256612791481
25	2.5218075626215013
26	0.0268083707441624
27	6.490481534168194
28	10.01811406298654
29	2.719831254744647
30	11.451247269098149
31	7.290319158733242
32	4.246608817237618
33	5.178194547377322
34	2.881293134334925
35	7.322729478040912
36	6.330321547966184
37	7.031132675711981
38	10.371548153790377
39	9.928327113641837
40	2.0865893199439043
41	10.302017142203628
42	5.937047156458737
43	10.813301111669611
44	7.200567932095723
45	5.181211247142447
46	6.700274697810069
47	8.060436569210378
48	12.11561087825243
49	10.279711292464988
50	8.554574933326318
51	12.284745610395156
52	8.793472393462054
53	10.881654526705614
54	3.5440027799218594
55	4.167261866104494
56	8.888323995107957
57	8.850147717396045
58	4.155483268489105
59	9.476504132603573
60	19.477548670166225
61	11.185903820763825
62	8.770054731327395
63	2.751612173099086
64	4.491864889261024
65	2.6726697533108146
66	1.3115409948425736
67	7.226052700873187
68	5.172512431661636
69	13.727449704746594
70	3.7714420129064505
